监测时间,水温(℃),pH(无量纲),溶解氧(mg/L),电导率    (μS/cm),浊度(NTU)
2018-12-04 00:00,7.8,8.10,9.10,445.5,30.7
2018-12-04 01:00,7.8,8.07,9.21,447.0,27.2
2018-12-04 02:00,7.8,8.09,9.13,448.6,24.0
2018-12-04 03:00,7.7,8.07,9.15,449.8,22.4
2018-12-04 04:00,7.7,8.08,9.18,452.1,20.4
2018-12-04 05:00,7.6,8.07,9.14,452.8,21.8
2018-12-04 06:00,7.6,8.09,9.06,454.0,20.9
2018-12-04 07:00,7.5,8.07,9.06,454.6,19.2
2018-12-04 08:00,7.5,8.08,9.05,456.5,18.4
2018-12-04 09:00,7.5,8.07,9.06,457.9,17.7
2018-12-04 10:00,7.6,8.08,9.08,459.2,16.3
2018-12-04 11:00,7.6,8.07,9.14,460.1,17.2
2018-12-04 12:00,7.6,8.08,9.19,462.8,17.8
2018-12-04 13:00,7.6,8.07,9.23,463.7,20.7
2018-12-04 14:00,7.6,8.09,9.20,464.2,15.3
2018-12-04 15:00,7.6,8.10,9.17,462.4,14.0
2018-12-04 16:00,7.6,8.09,9.13,459.4,15.8
2018-12-04 17:00,7.6,8.06,9.13,457.9,18.8
2018-12-04 18:00,7.6,8.08,9.10,455.6,10.6
2018-12-04 19:00,7.5,8.06,9.11,454.1,11.1
2018-12-04 20:00,7.5,8.08,9.12,452.3,13.8
2018-12-04 21:00,7.5,8.07,9.12,450.7,10.7
2018-12-04 22:00,7.5,8.09,9.10,449.4,9.8
2018-12-04 23:00,7.4,8.08,9.13,450.6,11.1
2018-12-05 00:00,7.4,8.11,9.10,451.5,14.2
2018-12-05 01:00,7.4,8.08,9.28,452.6,12.4
2018-12-05 02:00,7.3,8.10,9.19,454.1,13.0
2018-12-05 03:00,7.2,8.08,9.23,454.5,14.4
2018-12-05 04:00,7.3,8.10,9.30,453.4,16.0
2018-12-05 05:00,7.2,8.08,9.26,452.7,12.4
2018-12-05 06:00,7.3,8.10,9.18,452.6,12.9
2018-12-05 07:00,7.2,8.09,9.22,452.3,11.1
2018-12-05 08:00,7.3,8.10,9.23,450.7,13.1
2018-12-05 09:00,7.3,8.09,9.20,449.1,11.1
2018-12-05 10:00,7.5,8.11,9.25,449.2,11.9
2018-12-05 11:00,7.5,8.11,9.29,448.4,11.9
2018-12-05 12:00,7.6,8.11,9.33,448.5,12.5
2018-12-05 13:00,7.7,8.06,9.27,448.1,12.9
2018-12-05 14:00,7.7,8.07,9.15,446.7,12.1
2018-12-05 15:00,7.8,8.04,9.09,446.8,17.5
2018-12-05 16:00,7.8,8.04,9.10,447.0,13.2
2018-12-05 17:00,7.8,8.02,9.00,446.2,11.7
2018-12-05 18:00,7.7,8.04,9.00,445.3,11.0
2018-12-05 19:00,7.6,8.02,8.99,444.3,11.3
2018-12-05 20:00,7.6,8.05,9.05,443.7,11.6
2018-12-05 21:00,7.6,8.04,9.03,443.8,10.6
2018-12-05 22:00,7.5,8.07,9.05,443.7,15.5
2018-12-05 23:00,7.5,8.07,9.14,444.0,12.2
2018-12-06 00:00,7.5,8.08,9.17,444.2,13.5
2018-12-06 01:00,7.4,8.07,9.23,445.2,10.4
2018-12-06 02:00,7.4,8.09,9.25,446.0,10.0
2018-12-06 03:00,7.3,8.08,9.36,447.1,10.0
2018-12-06 04:00,7.3,8.09,9.27,449.2,8.8
2018-12-06 05:00,7.2,8.08,9.26,451.5,9.7
2018-12-06 06:00,7.1,8.10,9.23,453.4,10.1
2018-12-06 07:00,7.0,8.09,9.29,455.8,8.6
2018-12-06 08:00,7.0,8.10,9.20,457.3,8.9
2018-12-06 09:00,7.0,8.09,9.21,458.3,14.4
2018-12-06 10:00,7.0,8.12,9.20,460.5,9.4
2018-12-06 11:00,7.0,8.09,9.26,462.4,9.2
2018-12-06 12:00,7.1,8.10,9.30,465.0,9.9
2018-12-06 13:00,7.2,7.86,9.26,466.5,15.0
2018-12-06 14:00,7.2,7.98,9.27,466.0,14.0
2018-12-06 15:00,7.2,7.98,9.29,464.6,14.0
2018-12-06 16:00,7.2,8.02,9.22,460.7,14.3
2018-12-06 17:00,7.2,8.02,9.15,457.0,13.9
2018-12-06 18:00,7.2,8.05,9.12,452.9,26.9
2018-12-06 19:00,7.3,8.02,9.18,451.6,26.3
2018-12-06 20:00,7.2,8.04,9.14,449.4,19.2
2018-12-06 21:00,7.3,8.03,9.14,448.9,17.7
2018-12-06 22:00,7.3,8.06,9.17,448.3,18.7
2018-12-06 23:00,7.3,8.03,9.14,449.2,19.6
2018-12-07 00:00,7.7,7.84,8.44,450.8,13.3
2018-12-07 01:00,7.1,8.03,9.13,452.5,14.5
2018-12-07 02:00,7.1,8.06,9.15,453.9,15.5
2018-12-07 03:00,7.0,8.04,9.11,455.3,15.9
2018-12-07 04:00,10.2,7.92,7.87,457.5,2.4
2018-12-07 05:00,7.0,8.04,9.09,456.8,13.8
2018-12-07 06:00,7.0,8.07,9.12,457.5,13.1
2018-12-07 07:00,7.0,8.04,9.16,457.2,15.5
2018-12-07 08:00,7.0,8.06,9.11,457.6,10.9
2018-12-07 09:00,7.0,8.05,9.12,458.3,12.7
2018-12-07 10:00,7.0,8.08,9.16,459.9,13.5
2018-12-07 11:00,7.0,8.06,9.15,460.9,15.4
2018-12-07 12:00,7.1,8.06,9.15,459.8,16.5
2018-12-07 13:00,7.2,8.04,9.17,458.3,17.9
2018-12-07 14:00,7.3,8.07,9.18,455.4,16.0
2018-12-07 15:00,7.4,8.05,9.16,453.1,13.5
2018-12-07 16:00,7.4,8.06,9.19,453.3,14.5
2018-12-07 17:00,7.4,8.04,9.12,453.5,14.6
2018-12-07 18:00,7.4,8.05,9.11,451.4,14.9
2018-12-07 19:00,7.3,8.04,9.18,450.1,13.1
2018-12-07 20:00,7.3,8.07,9.18,450.7,13.1
2018-12-07 21:00,7.4,8.15,9.06,449.3,13.1
2018-12-07 22:00,7.4,8.16,9.10,449.2,13.1
2018-12-07 23:00,7.3,8.15,9.15,449.5,12.0
2018-12-08 00:00,7.2,8.15,9.16,450.2,11.8
2018-12-08 01:00,7.1,8.15,9.14,451.4,11.6
2018-12-08 02:00,7.0,8.17,9.12,453.1,13.9
2018-12-08 03:00,7.0,8.15,9.18,453.8,11.0
2018-12-08 04:00,6.9,8.17,9.13,454.9,10.5
2018-12-08 05:00,6.9,8.17,9.10,455.3,13.0
2018-12-08 06:00,6.8,8.18,9.07,456.6,34.0
2018-12-08 07:00,6.8,8.16,9.08,456.7,11.9
2018-12-08 08:00,6.9,8.18,9.04,455.1,10.5
2018-12-08 09:00,6.8,8.18,9.04,455.7,10.8
2018-12-08 10:00,7.0,8.19,9.03,455.4,10.9
2018-12-08 11:00,7.0,8.18,9.10,455.6,11.8
2018-12-08 12:00,7.1,8.19,9.12,455.2,9.2
2018-12-08 13:00,7.2,8.18,9.14,455.3,9.3
2018-12-08 14:00,7.3,8.18,9.18,454.2,10.1
2018-12-08 15:00,7.2,8.17,9.23,455.3,9.6
2018-12-08 16:00,7.2,8.19,9.21,455.8,9.8
2018-12-08 17:00,14.5,8.22,7.28,0.2,17.9
2018-12-08 18:00,6.9,8.19,9.15,456.8,36.1
2018-12-08 19:00,6.8,8.18,9.16,455.7,19.8
2018-12-08 20:00,6.8,8.20,9.09,454.7,36.9
2018-12-08 21:00,6.8,8.19,9.12,454.5,14.9
2018-12-08 22:00,6.9,8.20,9.16,451.8,17.7
2018-12-08 23:00,6.8,8.18,9.22,452.3,18.0
2018-12-09 00:00,6.8,8.19,9.27,452.7,16.6
2018-12-09 01:00,6.8,8.18,9.26,452.8,19.0
2018-12-09 02:00,6.8,8.19,9.22,452.3,17.5
2018-12-09 03:00,6.7,8.18,9.27,453.1,16.0
2018-12-09 04:00,6.8,8.19,9.22,453.8,16.5
2018-12-09 05:00,6.7,8.19,9.19,455.3,14.2
2018-12-09 06:00,6.8,8.19,9.15,454.7,12.6
2018-12-09 07:00,6.7,8.18,9.16,456.4,12.4
2018-12-09 08:00,6.8,8.19,9.14,457.8,11.9
2018-12-09 09:00,6.7,8.18,9.18,459.1,17.0
2018-12-09 10:00,6.8,8.19,9.10,460.5,15.1
2018-12-09 11:00,6.8,8.17,9.19,461.0,12.4
2018-12-09 12:00,6.9,8.17,9.20,461.5,13.8
2018-12-09 13:00,6.9,8.17,9.32,462.2,14.7
2018-12-09 14:00,7.0,8.17,9.21,461.9,14.7
2018-12-09 15:00,6.9,8.16,9.23,459.6,12.5
2018-12-09 16:00,7.0,8.17,9.20,459.1,13.1
2018-12-09 17:00,6.9,8.17,9.21,458.0,12.3
2018-12-09 18:00,6.9,8.18,9.09,457.6,11.9
2018-12-09 19:00,6.8,8.16,9.20,456.9,12.2
2018-12-09 20:00,6.8,8.18,9.06,456.9,12.0
2018-12-09 21:00,6.8,8.18,9.14,457.7,13.7
2018-12-09 22:00,6.8,8.19,9.17,457.2,12.9
2018-12-09 23:00,6.7,8.18,9.26,457.6,18.5
2018-12-10 00:00,6.8,8.19,9.29,456.1,14.5
2018-12-10 01:00,6.8,8.19,9.25,455.1,13.3
2018-12-10 02:00,6.8,8.19,9.19,454.7,12.0
2018-12-10 03:00,6.8,8.18,9.24,455.0,13.2
2018-12-10 04:00,6.8,8.18,9.14,453.8,40.0
2018-12-10 05:00,6.8,8.18,9.12,452.9,10.6
2018-12-10 06:00,6.9,8.18,9.10,451.4,10.2
2018-12-10 07:00,6.9,8.18,9.21,451.5,10.6
2018-12-10 08:00,7.0,8.18,9.08,448.2,17.7
2018-12-10 09:00,7.1,8.18,9.09,447.8,11.1
2018-12-10 10:00,7.1,8.19,9.14,449.2,10.5
2018-12-10 11:00,7.1,8.18,9.20,450.1,11.6
2018-12-10 12:00,7.2,8.18,9.19,449.7,15.3
2018-12-10 13:00,7.2,8.18,9.18,450.3,11.0
2018-12-10 14:00,7.2,8.18,9.20,450.4,11.0
2018-12-10 15:00,7.2,8.17,9.18,450.5,11.9
2018-12-10 16:00,7.1,8.18,9.09,448.7,13.5
2018-12-10 17:00,7.0,8.18,9.13,447.9,11.2
2018-12-10 18:00,9.8,8.23,8.49,0.3,21.4
2018-12-10 19:00,6.9,8.18,9.14,448.4,11.4
2018-12-10 20:00,6.9,8.18,9.18,447.5,13.5
2018-12-10 21:00,6.9,8.18,9.21,446.2,13.2
2018-12-10 22:00,6.9,8.19,9.24,446.7,12.2
2018-12-10 23:00,6.8,8.18,9.31,447.0,10.6
2018-12-11 00:00,6.8,8.18,9.34,447.9,11.9
2018-12-11 01:00,6.6,8.18,9.40,449.7,12.0
2018-12-11 02:00,6.6,8.18,9.32,451.0,10.3
2018-12-11 03:00,6.6,8.18,9.34,451.2,9.8
2018-12-11 04:00,6.6,8.19,9.31,451.9,9.8
2018-12-11 05:00,6.6,8.19,9.27,452.1,10.6
2018-12-11 06:00,6.6,8.19,9.24,453.4,11.2
2018-12-11 07:00,6.5,8.18,9.30,454.2,10.5
2018-12-11 08:00,6.6,8.19,9.20,453.1,7.7
2018-12-11 09:00,6.6,8.19,9.22,454.3,7.5
2018-12-11 10:00,6.7,8.19,9.28,454.1,7.0
2018-12-11 11:00,6.7,8.18,9.29,455.7,8.7
2018-12-11 12:00,6.8,8.19,9.28,455.7,9.0
2018-12-11 13:00,6.8,8.19,9.31,456.1,19.2
2018-12-11 14:00,6.9,8.18,9.32,456.6,9.7
2018-12-11 15:00,6.8,8.17,9.38,457.3,10.2
2018-12-11 16:00,6.8,8.19,9.34,457.7,9.9
2018-12-11 17:00,6.7,8.18,9.40,457.8,14.7
2018-12-11 18:00,6.6,8.19,9.30,458.6,14.9
2018-12-11 19:00,6.4,8.18,9.29,458.9,31.8
2018-12-11 20:00,6.4,8.19,9.24,458.2,24.9
2018-12-11 21:00,6.4,8.18,9.26,457.0,16.2
2018-12-11 22:00,6.4,8.18,9.28,455.4,13.2
2018-12-11 23:00,6.4,8.17,9.33,455.4,12.4
2018-12-12 00:00,6.4,8.18,9.36,456.9,12.2
2018-12-12 01:00,6.3,8.18,9.29,459.8,12.7
2018-12-12 02:00,6.3,8.19,9.31,461.9,11.1
2018-12-12 03:00,6.2,8.18,9.33,463.3,10.6
2018-12-12 04:00,6.2,8.19,9.28,464.9,14.4
2018-12-12 05:00,6.1,8.19,9.30,466.3,12.3
2018-12-12 06:00,6.0,8.19,9.31,468.2,10.3
2018-12-12 07:00,6.0,8.18,9.35,469.2,9.8
2018-12-12 08:00,6.0,8.19,9.30,467.2,13.8
2018-12-12 09:00,6.0,8.18,9.34,465.9,12.5
2018-12-12 10:00,6.2,8.19,9.35,465.5,12.2
2018-12-12 11:00,6.1,7.56,9.42,466.7,0.01
2018-12-12 12:00,6.2,7.93,9.38,467.8,0.01
2018-12-12 13:00,6.2,8.05,9.32,466.6,0.01
2018-12-12 14:00,6.4,8.10,9.24,462.5,0.01
2018-12-12 15:00,6.5,8.09,9.26,459.7,0.01
2018-12-12 16:00,6.6,8.11,9.22,454.4,0.01
2018-12-12 17:00,6.7,8.12,9.24,451.6,0.01
2018-12-12 18:00,6.7,8.14,9.18,450.2,0.01
2018-12-12 19:00,6.7,8.12,9.24,449.5,0.01
2018-12-12 20:00,6.8,8.14,9.22,449.1,0.01
2018-12-12 21:00,6.8,8.14,9.31,448.0,0.01
2018-12-12 22:00,6.8,8.15,9.28,446.3,0.01
2018-12-12 23:00,6.8,8.14,9.35,445.1,0.01
2018-12-13 00:00,6.8,8.16,9.29,444.8,0.01
2018-12-13 01:00,6.8,8.15,9.28,445.1,0.01
2018-12-13 02:00,6.8,8.16,9.27,445.7,0.01
2018-12-13 03:00,6.7,8.15,9.27,444.3,0.01
2018-12-13 04:00,6.7,8.16,9.23,443.8,0.01
2018-12-13 05:00,6.7,8.16,9.20,444.7,0.01
2018-12-13 06:00,6.6,8.17,9.19,445.2,0.01
2018-12-13 07:00,6.6,8.15,9.20,447.1,0.01
2018-12-13 08:00,6.7,8.17,9.14,444.4,0.01
2018-12-13 09:00,6.6,8.16,9.17,444.2,0.01
2018-12-13 10:00,6.8,8.17,9.11,445.0,0.01
2018-12-13 11:00,6.9,8.15,9.18,444.0,14.3
2018-12-13 12:00,7.0,8.16,9.21,444.4,14.2
2018-12-13 13:00,7.0,8.15,9.27,444.6,15.9
2018-12-13 14:00,7.1,8.16,9.32,445.0,14.1
2018-12-13 15:00,7.1,8.15,9.43,445.5,13.8
2018-12-13 16:00,7.0,8.16,9.38,447.1,14.0
2018-12-13 17:00,6.8,8.05,9.47,449.9,17.9
2018-12-13 18:00,6.5,8.09,9.43,453.3,15.3
2018-12-13 19:00,6.3,8.07,9.43,455.9,16.0
2018-12-13 20:00,6.2,8.09,9.50,457.9,16.4
2018-12-13 21:00,6.2,8.08,9.41,458.7,15.8
2018-12-13 22:00,6.3,8.10,9.46,460.4,17.2
2018-12-13 23:00,6.2,8.08,9.50,462.2,16.5
2018-12-14 00:00,6.0,8.10,9.62,466.4,17.8
2018-12-14 01:00,5.9,8.09,9.61,469.6,17.9
2018-12-14 02:00,5.8,8.11,9.64,470.5,19.3
2018-12-14 03:00,5.8,8.10,9.62,468.8,19.0
2018-12-14 04:00,5.8,8.11,9.67,467.5,18.3
2018-12-14 05:00,5.8,8.09,9.60,467.3,17.5
2018-12-14 06:00,5.9,8.12,9.56,463.7,17.5
2018-12-14 07:00,6.0,8.09,9.50,461.9,16.7
2018-12-14 08:00,6.1,8.11,9.48,456.6,17.8
2018-12-14 09:00,6.2,8.09,9.46,454.5,16.3
2018-12-14 10:00,6.4,8.11,9.46,452.0,18.0
2018-12-14 11:00,6.5,8.09,9.50,451.4,17.2
2018-12-14 12:00,6.5,8.11,9.55,448.6,20.9
2018-12-14 13:00,6.5,8.10,9.54,448.7,18.4
2018-12-14 14:00,6.4,8.11,9.52,448.9,19.6
2018-12-14 15:00,6.3,8.09,9.50,448.9,17.8
2018-12-14 16:00,6.3,8.11,9.53,447.4,19.1
2018-12-14 17:00,6.3,8.09,9.48,446.2,18.8
2018-12-14 18:00,6.2,8.12,9.42,445.8,19.5
2018-12-14 19:00,6.3,8.10,9.39,446.0,19.8
2018-12-14 20:00,6.2,8.11,9.40,446.8,20.0
2018-12-14 21:00,6.3,8.10,9.44,446.5,18.2
2018-12-14 22:00,6.3,8.12,9.38,447.1,16.9
2018-12-14 23:00,6.3,8.10,9.39,449.2,16.8
2018-12-15 00:00,6.3,8.13,9.36,449.6,17.9
2018-12-15 01:00,6.3,8.10,9.40,449.4,16.0
2018-12-15 02:00,6.3,8.12,9.40,450.0,16.0
2018-12-15 03:00,6.3,8.10,9.42,450.8,15.8
2018-12-15 04:00,6.2,8.11,9.42,451.2,15.9
2018-12-15 05:00,6.2,8.10,9.44,451.7,15.0
2018-12-15 06:00,6.2,8.12,9.41,452.0,14.7
2018-12-15 07:00,6.2,8.11,9.41,451.7,14.5
2018-12-15 08:00,6.2,8.12,9.41,452.4,14.4
2018-12-15 09:00,6.3,8.11,9.37,449.6,15.7
2018-12-15 10:00,6.4,8.13,9.43,448.2,15.3
2018-12-15 11:00,6.4,8.11,9.45,447.8,14.5
2018-12-15 12:00,6.6,8.12,9.59,448.7,14.7
2018-12-15 13:00,6.6,8.10,9.53,448.3,14.2
2018-12-15 14:00,6.6,8.12,9.59,446.8,15.0
2018-12-15 15:00,6.6,8.10,9.61,446.6,14.8
2018-12-15 16:00,6.6,8.12,9.64,447.3,15.7
2018-12-15 17:00,6.5,8.10,9.59,448.2,15.1
2018-12-15 18:00,6.2,8.12,9.57,449.5,15.6
2018-12-15 19:00,6.1,8.11,9.56,450.6,15.4
2018-12-15 20:00,6.0,8.13,9.59,451.2,15.4
2018-12-15 21:00,6.0,8.11,9.62,451.4,15.3
2018-12-15 22:00,6.0,8.13,9.56,451.2,15.6
2018-12-15 23:00,6.1,8.12,9.54,451.3,16.7
2018-12-16 00:00,6.1,8.13,9.54,451.8,15.8
2018-12-16 01:00,6.1,8.12,9.58,452.7,15.4
2018-12-16 02:00,6.1,8.13,9.50,453.6,15.8
2018-12-16 03:00,6.0,8.12,9.46,454.7,15.1
2018-12-16 04:00,6.0,8.13,9.50,457.5,14.6
2018-12-16 05:00,5.9,8.12,9.47,458.7,15.0
2018-12-16 06:00,5.9,8.13,9.45,459.4,14.4
2018-12-16 07:00,5.8,8.12,9.41,460.0,14.5
2018-12-16 08:00,5.8,8.14,9.51,457.9,14.2
2018-12-16 09:00,5.8,8.12,9.41,458.3,13.6
2018-12-16 10:00,6.0,8.14,9.50,452.5,13.9
2018-12-16 11:00,6.1,8.12,9.50,452.0,13.1
2018-12-16 12:00,6.2,8.13,9.57,451.5,14.3
2018-12-16 13:00,6.3,8.12,9.64,451.2,14.4
2018-12-16 14:00,6.3,8.14,9.65,450.3,13.5
2018-12-16 15:00,6.3,8.12,9.63,448.9,14.5
2018-12-16 16:00,6.3,8.13,9.62,449.1,15.3
2018-12-16 17:00,6.3,8.11,9.61,449.9,14.9
2018-12-16 18:00,6.1,8.13,9.54,450.0,14.3
2018-12-16 19:00,6.1,8.12,9.57,449.5,14.0
2018-12-16 20:00,6.0,8.13,9.52,448.9,14.9
2018-12-16 21:00,6.1,8.11,9.46,447.4,15.2
2018-12-16 22:00,6.2,8.13,9.41,445.7,16.7
2018-12-16 23:00,6.2,8.11,9.39,446.1,16.0
2018-12-17 00:00,6.2,8.14,9.38,447.3,15.4
2018-12-17 01:00,6.2,8.11,9.42,449.9,15.7
2018-12-17 02:00,6.2,8.12,9.41,451.3,15.8
2018-12-17 03:00,6.2,8.11,9.44,451.1,15.4
2018-12-17 04:00,6.1,8.12,9.47,450.6,15.4
2018-12-17 05:00,6.0,8.11,9.49,450.3,14.6
2018-12-17 06:00,6.0,8.13,9.47,451.0,14.4
2018-12-17 07:00,6.0,8.12,9.48,450.0,15.2
2018-12-17 08:00,6.0,8.13,9.61,448.2,16.0
2018-12-17 09:00,6.0,8.13,9.56,446.6,17.1
2018-12-17 10:00,6.2,8.14,9.57,444.2,16.8
2018-12-17 11:00,6.2,8.14,9.54,443.5,19.2
2018-12-17 12:00,6.3,8.14,9.51,444.0,17.3
2018-12-17 13:00,6.4,8.12,9.46,444.4,17.9
2018-12-17 14:00,6.4,8.12,9.43,444.7,18.4
2018-12-17 15:00,6.5,8.10,9.46,444.8,17.1
2018-12-17 16:00,6.4,8.11,9.42,446.1,17.1
2018-12-17 17:00,6.4,8.09,9.39,445.7,17.1
2018-12-17 18:00,6.3,8.10,9.45,446.2,16.8
2018-12-17 19:00,6.3,8.10,9.39,446.2,17.3
2018-12-17 20:00,6.2,8.12,9.47,446.7,18.1
2018-12-17 21:00,6.2,8.10,9.37,447.1,17.7
2018-12-17 22:00,6.2,8.12,9.40,447.8,15.7
2018-12-17 23:00,6.2,8.12,9.48,448.0,15.7
2018-12-18 00:00,6.1,8.12,9.44,448.6,16.4
2018-12-18 01:00,6.1,8.12,9.45,449.9,14.7
2018-12-18 02:00,6.0,8.14,9.44,451.6,14.2
2018-12-18 03:00,6.0,8.13,9.50,452.0,14.2
2018-12-18 04:00,5.9,8.14,9.48,453.3,14.5
2018-12-18 05:00,5.9,8.13,9.50,454.1,13.7
2018-12-18 06:00,5.9,8.14,9.46,454.4,13.6
2018-12-18 07:00,5.8,8.14,9.45,454.6,14.2
2018-12-18 08:00,5.8,8.15,9.46,454.1,14.6
2018-12-18 09:00,5.9,8.14,9.46,451.9,14.0
2018-12-18 10:00,6.0,8.15,9.52,450.3,13.1
2018-12-18 11:00,6.2,8.14,9.56,448.9,13.9
2018-12-18 12:00,6.3,8.15,9.60,448.3,15.1
2018-12-18 13:00,6.4,8.13,9.63,449.1,13.7
2018-12-18 14:00,6.4,8.14,9.63,450.0,14.6
2018-12-18 15:00,6.4,8.12,9.62,450.9,13.5
2018-12-18 16:00,6.3,8.12,9.59,452.3,14.9
2018-12-18 17:00,6.3,8.11,9.52,452.9,13.8
2018-12-18 18:00,6.1,8.12,9.46,453.2,15.6
2018-12-18 19:00,6.0,8.11,9.53,453.4,15.9
2018-12-18 20:00,6.0,8.13,9.46,452.6,16.6
2018-12-18 21:00,6.0,8.11,9.46,452.5,16.4
2018-12-18 22:00,6.0,8.13,9.47,454.3,16.6
2018-12-18 23:00,6.0,8.12,9.50,456.4,16.4
2018-12-19 00:00,5.9,8.14,9.50,458.1,16.7
2018-12-19 01:00,5.9,8.11,9.48,459.3,17.0
2018-12-19 02:00,5.9,8.13,9.48,460.1,16.4
2018-12-19 03:00,5.9,8.13,9.48,459.7,15.8
2018-12-19 04:00,5.9,8.14,9.57,459.2,15.7
2018-12-19 05:00,5.9,8.13,9.45,459.0,15.3
2018-12-19 06:00,5.9,8.15,9.45,458.0,14.5
2018-12-19 07:00,5.9,8.13,9.47,456.9,14.4
2018-12-19 08:00,5.9,8.14,9.46,457.3,14.8
2018-12-19 09:00,5.9,8.13,9.47,455.9,13.5
2018-12-19 10:00,6.0,8.15,9.56,452.6,13.6
2018-12-19 11:00,6.2,7.79,9.62,451.4,14.1
2018-12-19 12:00,6.3,7.97,9.70,450.5,15.2
2018-12-19 13:00,6.4,8.02,9.67,451.0,14.4
2018-12-19 14:00,6.4,8.07,9.65,451.7,14.2
2018-12-19 15:00,6.4,8.06,9.62,452.8,13.2
2018-12-19 16:00,6.3,8.08,9.60,453.7,15.4
2018-12-19 17:00,6.3,8.07,9.54,453.5,13.2
2018-12-19 18:00,6.2,8.09,9.49,452.3,14.0
2018-12-19 19:00,6.2,8.08,9.51,451.3,13.9
2018-12-19 20:00,6.1,8.11,9.51,449.5,17.0
2018-12-19 21:00,6.2,8.10,9.47,448.7,14.4
2018-12-19 22:00,6.2,8.12,9.50,448.4,14.0
2018-12-19 23:00,6.1,8.11,9.48,449.6,13.7
2018-12-20 00:00,6.1,8.13,9.50,450.7,14.7
2018-12-20 01:00,6.0,8.11,9.49,451.1,13.7
2018-12-20 02:00,6.0,8.13,9.46,451.6,13.9
2018-12-20 03:00,6.0,8.12,9.45,452.8,13.7
2018-12-20 04:00,5.9,8.14,9.48,454.7,36.9
2018-12-20 05:00,5.9,8.12,9.47,454.7,13.9
2018-12-20 06:00,5.8,8.14,9.48,455.3,13.6
2018-12-20 07:00,5.8,8.13,9.49,456.1,13.5
2018-12-20 08:00,5.8,8.15,9.52,455.7,13.7
2018-12-20 09:00,5.9,8.14,9.51,453.7,13.6
2018-12-20 10:00,6.0,8.15,9.53,452.4,15.1
2018-12-20 11:00,6.1,8.15,9.58,451.9,13.4
2018-12-20 12:00,6.2,8.15,9.63,452.7,14.5
2018-12-20 13:00,9.4,8.00,8.98,458.6,12.3
2018-12-20 14:00,9.2,7.87,8.93,458.7,11.4
2018-12-20 15:00,6.4,8.12,9.66,452.6,13.7
2018-12-20 16:00,6.2,8.14,9.66,453.8,15.4
2018-12-20 17:00,6.1,8.12,9.55,454.8,15.3
2018-12-20 18:00,6.0,8.14,9.54,454.8,16.5
2018-12-20 19:00,5.9,8.13,9.51,454.2,14.8
2018-12-20 20:00,5.9,8.14,9.52,452.8,16.2
2018-12-20 21:00,5.9,8.13,9.49,452.6,34.2
2018-12-20 22:00,5.9,8.15,9.53,451.4,15.8
2018-12-20 23:00,5.9,8.14,9.53,451.9,17.5
2018-12-21 00:00,5.9,8.16,9.48,453.6,15.6
2018-12-21 01:00,5.9,8.13,9.56,455.9,15.6
2018-12-21 02:00,5.9,8.15,9.53,457.2,15.3
2018-12-21 03:00,5.9,8.14,9.58,458.7,16.0
2018-12-21 04:00,5.9,8.15,9.57,459.7,15.0
2018-12-21 05:00,5.8,8.14,9.54,460.7,16.0
2018-12-21 06:00,5.8,8.16,9.60,461.9,14.2
2018-12-21 07:00,5.8,8.15,9.62,461.5,14.5
2018-12-21 08:00,5.7,8.16,9.65,460.1,16.7
2018-12-21 09:00,5.7,8.15,9.64,461.8,14.7
2018-12-21 10:00,5.7,8.17,9.65,459.8,14.9
2018-12-21 11:00,5.7,8.15,9.67,457.7,13.8
2018-12-21 12:00,5.8,8.16,9.67,455.7,14.7
2018-12-21 13:00,5.9,8.14,9.65,453.9,16.3
2018-12-21 14:00,6.0,8.15,9.65,450.6,14.1
2018-12-21 15:00,6.0,8.14,9.62,450.0,13.8
2018-12-21 16:00,6.0,8.15,9.61,449.7,13.9
2018-12-21 17:00,6.0,8.13,9.56,449.4,13.8
2018-12-21 18:00,5.9,8.15,9.56,450.1,33.0
2018-12-21 19:00,5.9,8.13,9.58,450.0,15.7
2018-12-21 20:00,5.8,8.15,9.58,449.7,14.2
2018-12-21 21:00,5.8,8.14,9.58,449.5,14.8
2018-12-21 22:00,5.9,8.16,9.58,447.8,16.1
2018-12-21 23:00,5.9,8.14,9.60,447.1,14.9
2018-12-22 00:00,5.9,8.15,9.59,448.5,16.1
2018-12-22 01:00,5.9,8.14,9.53,450.1,14.8
2018-12-22 02:00,5.9,8.16,9.51,452.0,15.0
2018-12-22 03:00,5.9,8.15,9.50,452.3,15.7
2018-12-22 04:00,5.8,8.16,9.52,453.9,14.7
2018-12-22 05:00,5.8,8.15,9.52,454.9,14.8
2018-12-22 06:00,5.7,8.16,9.52,455.3,14.7
2018-12-22 07:00,5.7,8.15,9.49,455.6,15.5
2018-12-22 08:00,5.6,8.16,9.50,455.5,15.1
2018-12-22 09:00,5.7,8.15,9.50,453.2,14.5
2018-12-22 10:00,5.7,8.17,9.53,452.6,56.8
2018-12-22 11:00,5.7,8.16,9.65,451.9,14.6
2018-12-22 12:00,5.8,8.17,9.62,450.3,15.2
2018-12-22 13:00,5.8,8.15,9.61,450.7,16.8
2018-12-22 14:00,5.8,8.15,9.61,452.5,17.9
2018-12-22 15:00,5.8,8.13,9.62,453.3,16.4
2018-12-22 16:00,5.7,8.13,9.62,454.4,16.5
2018-12-22 17:00,5.6,8.13,9.64,455.4,15.9
